Shear_Strain_(%)	Shear_Stress_(kPa)	Axial_Strain_(%)	Effective_Vertical_Stress_(kPa)
0	-0.082152	0	98.484755
0.039553	2.550317	-0.004387	98.149188
0.069584	5.538652	0.002437	96.09689
0.095932	7.579041	-0.001341	92.28543
0.134101	9.18804	-0.003595	88.308131
0.141344	9.806173	-0.001706	86.383129
0.143644	9.26206	0.001219	85.428408
0.139493	8.892565	0.001462	84.997015
0.140368	8.778788	0.0039	84.750909
0.138822	8.671862	0.000853	84.660387
0.101792	5.67148	0.002011	85.221905
0.073246	2.813263	-0.003595	85.663199
0.070133	2.064485	0.007312	85.8156
0.06704	2.003568	0.006337	85.875359
0.066878	1.96381	0.004753	85.880309
0.065921	1.79401	0.004936	85.941482
0.061445	1.588216	0.00585	86.094238
0.062402	1.35539	-0.00067	86.334686
0.058617	1.167744	-0.002377	86.604483
0.056135	0.650663	-0.003656	86.811693
0.050194	-0.326122	0	87.194643
0.021058	-3.038183	-0.004144	87.545414
-0.01766	-5.793917	0.005119	87.273496
-0.052351	-7.991005	0.005119	86.214815
-0.08523	-9.998187	0.011212	85.050409
-0.101507	-10.837023	0.008775	84.278499
-0.103541	-10.295846	-0.000244	83.83862
-0.098496	-9.665665	0.002925	83.32307
-0.097682	-9.516873	0.000792	83.151928
-0.096603	-9.472296	0.006947	83.060699
-0.094955	-9.321697	0	82.918905
-0.067488	-8.152748	0.007312	82.286667
-0.051293	-6.592844	0.005423	81.531023
-0.037457	-5.350855	0.006642	80.947582
-0.029888	-4.396284	0.002255	80.521493
-0.020041	-3.71761	-0.000427	80.128289
-0.017844	-3.058288	0.004205	79.806159
-0.01237	-2.620045	0.009019	79.602485
-0.013022	-2.496629	-0.002925	79.533887
0.001363	-1.483926	0.001462	79.15412
0.014486	-0.394569	0.004205	78.66014
0.034934	1.612086	-0.000183	78.009868
0.062564	4.381224	0.001523	77.057976
0.085291	7.158042	0.001219	76.076027
0.12108	9.292932	0.002255	74.684609
0.134996	9.828387	0.013223	73.710086
0.12818	9.453019	0.000792	73.292837
0.128343	9.210329	0.005667	73.052389
0.130948	9.159125	0.01493	72.956209
0.126207	8.968843	0.016148	72.907766
0.090805	5.573365	0.012248	73.401746
0.063134	2.755057	0.011761	73.787878
0.061669	2.042121	0.006337	73.913406
0.059329	1.743333	0.008592	73.992612
0.058902	1.636709	0.012005	73.983065
0.058617	1.611484	0	73.9668
0.054853	1.482496	0.011761	74.08172
0.055077	1.348538	0.001462	74.312267
0.051191	1.132278	0.000305	74.517709
0.045901	0.562035	0.010237	74.73093
0.03467	-0.498106	0.006337	75.13156
0.011719	-2.488271	0.002986	75.620943
-0.020692	-5.130529	0.014381	76.107144
-0.048587	-7.85155	0.011273	76.334862
-0.081079	-10.167536	0.020962	76.23833
-0.087509	-10.640115	0.005362	76.095829
-0.088485	-9.997961	0.011212	75.831689
-0.083684	-9.624777	0.011517	75.478088
-0.08523	-9.559492	0.010603	75.375544
-0.08409	-9.471769	0.015661	75.293862
-0.073897	-9.031342	0.012005	74.957588
-0.040794	-6.980486	0.01365	74.046713
-0.027996	-5.454392	0.0078	73.399978
-0.019532	-4.395907	0.006337	72.8473
-0.007752	-3.552252	0.009506	72.470716
-0.00002	-2.936378	0.012187	72.12843
0.004049	-2.494746	0.000731	71.879849
0.006002	-2.431796	0.011212	71.876667
0.009664	-1.957786	0.016209	71.685369
0.021628	-0.79328	0.002194	71.245843
0.034995	0.345248	0.013894	70.866784
0.060143	2.991798	0.016392	70.127051
0.081384	5.736313	0.0078	69.489509
0.112534	8.141754	0.012248	68.875305
0.132982	10.07808	0.004448	67.874262
0.135668	9.869049	0.021937	67.643715
0.132982	9.411529	0.014381	67.378868
0.133572	9.27215	0.004509	67.272434
0.131822	9.187513	0.007069	67.118618
0.104498	6.663701	0.012919	67.468329
0.072107	3.504813	0.013711	67.953115
0.060937	2.077437	0.012187	68.183663
0.060143	1.61442	0.014137	68.293986
0.06055	1.490026	0.014625	68.295754
0.05939	1.556967	0.008287	68.323688
0.055667	1.46209	0.011273	68.454167
