Shear_Strain_(%)	Shear_Stress_(kPa)	Axial_Strain_(%)	Effective_Vertical_Stress_(kPa)
0	0.11755	0	98.561733
-0.004122	0.124252	0.009228	98.63599
0.003775	0.266041	0.002139	98.593911
0.009468	0.947952	-0.015401	98.559965
0.047913	3.189166	0.001406	98.524959
0.094622	6.04934	0.005378	97.693998
0.141066	8.413141	-0.008373	95.79198
0.168409	10.319723	-0.004645	93.266212
0.199079	11.978495	-0.002445	90.426092
0.231504	13.406173	-0.00984	87.597288
0.257297	14.462097	-0.006173	84.5786
0.277356	15.455147	-0.003484	82.027372
0.308945	16.104002	0.007639	79.530598
0.378263	16.712346	0.005806	77.085097
0.391384	16.930188	-0.020107	76.467003
0.374896	15.616061	0.002017	75.325934
0.295171	11.833017	0.002872	73.946538
0.277377	9.354158	0.018579	73.180286
0.277764	8.839938	0.003422	72.858863
0.282274	8.953866	0.001161	72.7839
0.26097	7.438841	0.003422	72.403779
0.246033	4.493051	0.006845	71.621615
0.22979	1.932643	0.004645	70.854655
0.223158	1.197721	-0.010573	70.346885
0.220465	0.838919	-0.020352	70.325669
0.218098	0.929956	0.000428	70.237976
0.221199	0.911583	0.007517	70.143211
0.218608	0.764824	0.003422	70.141796
0.217608	0.662116	0.000489	70.187057
0.214343	0.535838	0.000672	70.303038
0.214098	0.416338	-0.000733	70.409118
0.209221	0.237502	-0.018396	70.454379
0.206262	-0.894399	-0.010512	70.463219
0.18049	-3.071457	-0.000183	69.62165
0.154942	-5.196709	-0.020046	68.777252
0.125537	-7.224976	-0.008312	67.628404
0.086868	-8.677653	0.006295	66.755718
0.020977	-10.267526	-0.007395	65.593079
-0.013774	-11.575854	0.005562	64.517072
-0.040608	-12.545033	-0.015462	63.299272
-0.08095	-13.604647	0.007762	62.246957
-0.105274	-14.408845	-0.003911	61.114021
-0.133617	-15.16312	-0.002995	60.048622
-0.171327	-15.750079	0.00385	59.058541
-0.218669	-16.35368	0.01369	58.30325
-0.258256	-16.762104	0.013445	57.133893
-0.261358	-16.583795	0.016624	57.259421
-0.250665	-15.01975	-0.006662	56.413609
-0.213037	-12.387055	0.001406	55.333359
-0.211139	-12.258067	0.011184	55.324873
-0.213098	-12.191728	-0.010023	55.283855
-0.207221	-11.020671	-0.001467	54.962432
-0.172144	-8.456649	0.007273	53.877939
-0.153289	-6.988008	0.021696	53.203976
-0.137821	-5.813939	-0.000978	52.668625
-0.129781	-4.700411	0.00874	52.165805
-0.113028	-3.722948	0.006845	51.672532
-0.106355	-2.765139	-0.02738	51.184917
-0.099172	-2.284879	0.010756	50.944115
-0.095969	-2.088649	0.013201	50.693766
