Shear_Strain_(%)	Shear_Stress_(kPa)	Axial_Strain_(%)	Effective_Vertical_Stress_(kPa)
0	-0.38493	0	98.16
0.028164	2.9434	-0.0089147	97.593
0.052715	5.5966	0.00018444	96.429
0.082665	7.7198	-0.0017829	94.086
0.09845	8.4152	-0.0052258	93.117
0.1005	8.044	0.0033814	92.199
0.09765	7.8848	-0.00055332	91.869
0.10239	7.8133	-0.0052258	91.699
0.10352	7.6394	0.0071317	91.523
0.031099	4.3323	-0.007685	91.767
0.012789	2.0204	-0.0098983	92.001
0.017243	1.9023	0.0060866	91.943
0.012296	1.9072	0.0054103	91.923
0.010736	1.6465	0.0066399	92.029
0.0082726	1.1873	0.00098369	92.093
0.0032844	0.81304	-0.0022748	92.308
0.0026891	0.50285	-0.012112	92.525
0.00090321	0.14829	-0.0030125	92.597
-0.0027302	-0.13781	-0.0027051	92.809
-0.0091348	-0.79936	0.012726	93.011
-0.023504	-3.1632	0.0011681	93.148
-0.03695	-5.3098	-0.013095	92.763
-0.053392	-7.5278	-0.0027051	91.621
-0.052653	-8.0685	0.0028896	91.081
-0.055589	-7.657	0.006394	90.413
-0.055917	-7.4403	0.015063	90.053
-0.052694	-7.3841	-0.0042421	89.899
-0.053721	-7.2499	-0.00098369	89.708
-0.052304	-6.8491	0.0060866	89.345
-0.040809	-6.2514	0.007808	89.072
-0.028574	-5.5195	0.0046725	88.715
-0.026768	-4.8449	6.15E-05	88.45
-0.019871	-4.3067	-0.0017215	88.18
-0.016032	-3.7996	-0.010882	87.857
-0.013774	-3.3596	-0.010636	87.62
-0.010182	-3.0564	-0.014325	87.465
-0.013712	-3.0372	-0.0078695	87.422
-0.01246	-2.4682	0.0021518	87.266
0.0023812	-0.19475	-0.0044881	86.718
0.021082	2.7686	-0.0027051	86.034
0.04473	5.3332	0.0082999	85.466
0.075931	7.8467	0.0046725	84.539
0.081351	8.3441	0.00049184	84.189
0.082336	8.0586	-0.0010452	83.759
0.084225	7.9767	-0.0068858	83.624
0.082172	7.8985	0.014509	83.523
0.066325	7.0496	0.00018444	83.543
0.012152	3.8747	-0.013526	83.809
0.0032639	1.6027	0.0036273	84.076
0.0051524	1.5688	-0.0054718	84.042
0.0010469	1.5668	-0.0025207	84.065
-0.00010264	1.3265	0.0017215	84.191
-0.0015806	1.0496	0.0039347	84.352
-0.0036129	0.75657	-0.018014	84.477
-0.0079852	0.43828	-0.014571	84.69
-0.010284	0.0090631	-0.0051644	84.862
-0.01322	-0.33056	-0.0086073	84.997
-0.02022	-1.4504	-0.0030125	85.299
-0.034917	-3.5641	0.02656	85.665
-0.047624	-5.9321	-0.015985	85.878
-0.060351	-8.0938	-0.006148	85.569
-0.061172	-8.0204	0.0019674	85.542
-0.056985	-7.5682	-0.0030125	84.931
-0.05487	-7.4897	-6.15E-05	84.758
-0.056841	-7.4312	-0.0017829	84.594
-0.055445	-7.1399	-0.00018444	84.444
-0.042533	-6.3246	-0.0012296	84.043
-0.028143	-5.5029	-0.0014755	83.658
-0.024654	-4.764	-0.012112	83.358
-0.020692	-4.1034	0.0081154	83.151
-0.017838	-3.6056	0.0022133	82.798
-0.013384	-3.1265	0.00092221	82.573
-0.0099148	-2.7489	0.013034	82.34
-0.0092169	-2.5321	0.0068243	82.21
-0.01127	-2.5174	-0.011066	82.171
-0.0038797	-1.1751	0.0049184	81.873
0.015847	1.608	0.0055947	81.278
0.032762	4.4068	0.00024592	80.802
0.060105	7.148	-0.001537	80.283
0.083732	8.6543	0.0036273	79.691
0.084984	8.4891	0.015555	79.341
0.086811	8.3125	-0.007685	79.249
0.082192	8.2407	-0.00098369	79.114
0.084574	8.2017	0.0068243	79.082
0.023791	5.5028	0.0058406	79.223
0.007472	2.7141	0.0056562	79.481
0.0016422	1.4271	-0.0037503	79.556
6.16E-05	1.4122	0.0066399	79.613
-0.002607	1.3435	0.0073776	79.671
-0.0038592	1.0337	0.010267	79.763
-0.0030381	0.77233	-0.01205	79.896
-0.008211	0.50873	0.006394	80.193
-0.0087242	0.23046	0.0085458	80.438
-0.012317	-0.046587	0.0039347	80.619
-0.016032	-0.30226	-0.0039347	80.776
-0.020692	-1.1312	0.0041192	81.121
-0.0358	-3.482	-0.013587	81.455
-0.049266	-6.1004	0.016969	81.764
-0.064888	-8.4317	-0.0097754	81.547
-0.064539	-8.3569	0.0078695	81.548
-0.066099	-7.9083	-0.017952	80.97
-0.059879	-7.7764	0.0041192	80.794
-0.059838	-7.741	0.00073776	80.74
-0.04904	-7.1089	-0.0089147	80.457
-0.036868	-6.0793	0.0073776	80.036
-0.030381	-5.3322	-0.012603	79.739
-0.023401	-4.7145	-0.0039962	79.505
-0.023976	-4.1987	-0.0035044	79.204
-0.018701	-3.6831	-0.0022748	78.942
-0.016114	-3.2178	-0.015985	78.662
-0.014616	-2.7739	-0.0025207	78.357
-0.009689	-2.4299	-0.013034	78.135
-0.010264	-2.3648	0.00092221	78.087
-0.0055014	-2.0068	-0.0054103	77.987
0.0026275	0.61338	0.0060866	77.429
0.022498	3.4367	0.0022748	76.946
0.049595	6.1872	0.0070702	76.494
0.078005	8.4753	-0.0051644	76.005
0.078559	8.4178	-0.0086073	75.835
0.078333	8.2231	-0.001537	75.659
0.079421	8.1487	0.007808	75.583
0.07938	8.0882	-0.004734	75.517
0.033809	6.2872	-0.013587	75.636
0.0028739	3.1683	-0.0049799	75.91
-0.0012317	1.4094	-0.0030125	76.1
-0.0017448	1.3926	-0.0019674	76.052
-0.0040234	1.3048	-0.02656	76.135
-0.0053577	0.97865	0.019858	76.309
-0.0060146	0.72867	0.012235	76.543
-0.0049471	0.49678	-0.00166	76.787
-0.00895	0.19043	0.0041192	76.959
-0.014205	-0.13961	-0.016415	77.136
-0.015601	-0.35931	-0.0086073	77.304
-0.02802	-1.5499	0.0036273	77.694
-0.039741	-3.9476	0.013772	78.107
-0.054665	-6.4059	0.015555	78.419
-0.061357	-8.1823	0.010759	78.494
-0.064641	-8.0764	-0.0057177	78.443
-0.063245	-7.6367	-0.0027051	77.962
-0.061747	-7.5543	0.0031355	77.825
-0.057559	-7.514	-0.0080539	77.782
-0.047644	-6.6267	0.024346	77.453
-0.034958	-5.7801	0.0075621	77.125
-0.030873	-5.2021	-0.012542	76.841
-0.023401	-4.6149	0.012481	76.565
-0.01751	-4.0382	0.0019059	76.295
-0.018967	-3.5108	-0.0083613	76.031
-0.014698	-3.0605	0.0038733	75.743
-0.011906	-2.6352	-0.00024592	75.491
-0.013569	-2.3124	-0.00055332	75.28
-0.010366	-2.2834	0.0078695	75.279
-0.00092374	-1.3911	0.019858	75.042
0.013528	1.2946	0.0076236	74.495
0.028472	4.2825	-0.00166	74.041
0.053926	6.7748	-0.0022748	73.707
0.078908	8.7602	0.0058406	73.264
0.085148	8.6583	-0.019182	73.094
0.081269	8.4491	-0.0054718	72.937
0.076506	8.3744	0.0081154	72.897
0.082829	8.3394	-0.0039347	72.809
0.02141	6.0707	0.0046725	72.96
0.0049471	3.5091	-0.0059636	73.136
0.00084163	1.5117	-0.00049184	73.485
0.0012317	1.354	-0.0057177	73.488
-0.0028123	1.3171	0	73.487
-0.006343	1.0368	-0.0073776	73.588
-0.0089705	0.81354	-0.007685	73.854
-0.013322	0.59901	0.009345	74.028
-0.010859	0.26658	0.011312	74.217
-0.014718	-0.088932	0.0038733	74.341
-0.02102	-0.43041	-0.020227	74.54
-0.022006	-1.2035	0.0058406	74.822
-0.034835	-3.4147	-0.0010452	75.371
-0.055096	-5.6855	0.0024592	75.757
-0.071456	-8.1812	0.0041192	75.917
-0.069383	-8.5812	0.0043651	75.892
-0.067269	-8.2717	0.0022133	75.607
-0.060207	-7.7451	0.0011681	75.143
-0.05797	-7.6306	0.010329	75.028
-0.056656	-7.582	-0.0068858	74.98
-0.038838	-6.2411	0.0033814	74.584
-0.030217	-5.4456	0.0087917	74.232
-0.02531	-4.815	-0.010636	73.949
-0.021677	-4.245	-0.0073776	73.68
-0.02022	-3.6578	0.0075621	73.402
-0.020692	-3.1255	0.0081154	73.15
-0.013897	-2.7542	-0.0069473	72.854
-0.011578	-2.4258	-6.15E-05	72.707
-0.010531	-2.2443	0.0028896	72.526
-0.0074105	-2.1173	0.0031355	72.548
-0.0083958	-0.41992	-0.011312	72.088
0.011824	2.1626	0.00092221	71.565
0.037278	4.8141	0.0019059	71.192
0.053228	7.3515	-0.020903	70.833
0.074741	8.7369	0.0011681	70.584
0.078826	8.5473	0.0085458	70.37
0.079626	8.3919	-0.00073776	70.275
0.080283	8.3397	-0.0027666	70.257
0.073714	8.0871	-0.0022748	70.173
0.013199	4.8604	0.0041192	70.399
-0.0013959	2.0943	0.01205	70.792
