idx         Dr           G0           hpo           maxDisp            resDisp            
1    0.600763    374.289000    0.116258    0.669601    0.669601    
2    0.520336    130.220000    0.345258    0.701177    0.701177    
3    0.547755    213.964000    0.226497    0.725783    0.725783    
4    0.592670    202.663000    0.111787    0.695976    0.695976    
5    0.542686    214.517000    0.236427    0.727863    0.727863    
6    0.547755    213.964000    0.226497    0.725783    0.725783    
7    0.674628    286.030000    0.041615    0.661300    0.661300    
8    0.689605    209.664000    0.035059    0.652798    0.652798    
9    0.661820    282.625000    0.053413    0.664990    0.664990    
10    0.609650    377.369000    0.104139    0.666508    0.666508    
11    0.661820    282.625000    0.053413    0.664990    0.664990    
12    0.567025    126.347000    0.170314    0.662711    0.662711    
13    0.689605    209.664000    0.035059    0.652798    0.652798    
14    0.517392    185.052000    0.293290    0.732934    0.732934    
15    0.541337    385.324000    0.252943    0.707294    0.707294    
16    0.595606    359.616000    0.122816    0.662909    0.662909    
17    0.600763    374.289000    0.116258    0.669601    0.669601    
18    0.552569    152.493000    0.224822    0.624242    0.624242    
19    0.677601    316.417000    0.030377    0.695469    0.695469    
20    0.661820    282.625000    0.053413    0.664990    0.664990    
