 max1, max3, max5, max7, max9, max11, max13, max15, max17, max19, max21, max23, max25, max27, max29, max31, max33, max35, max37, max39, max41, max43, max45, max47,max49
0.347403,0.347402,0.347403,0.347402,0.347402,0.345918,0.357407,0.412526,0.479419,0.551254,0.616219,0.678728,0.729048,0.765219,0.766206,0.766266,0.765795,0.765433,0.765069,0.764796,0.764567,0.764392,0.764296,0.764247,0.764191
0.348331,0.348331,0.348331,0.348331,0.34833,0.348066,0.365499,0.416388,0.479974,0.539204,0.600151,0.653827,0.705315,0.709954,0.709888,0.709758,0.709524,0.709341,0.709204,0.709081,0.708984,0.708917,0.708932,0.708948,0.708904
0.348932,0.348932,0.348932,0.348932,0.348931,0.347718,0.347739,0.349177,0.403099,0.460665,0.527123,0.592252,0.659503,0.718753,0.72055,0.721755,0.721712,0.721819,0.721772,0.72156,0.721396,0.72101,0.720687,0.720593,0.720519
0.348528,0.348527,0.348527,0.348527,0.348527,0.347485,0.347999,0.34768,0.348899,0.415181,0.493207,0.576135,0.654335,0.726976,0.730189,0.73116,0.731154,0.73109,0.731229,0.731265,0.731305,0.731031,0.730854,0.730885,0.730829
0.347096,0.347095,0.347096,0.347095,0.347095,0.345768,0.391449,0.449729,0.515884,0.580008,0.646152,0.701171,0.751324,0.774454,0.774988,0.774126,0.773676,0.773323,0.773016,0.772694,0.772444,0.772372,0.772272,0.772231,0.772191
0.349519,0.349519,0.349519,0.349519,0.349519,0.349644,0.348726,0.347556,0.346165,0.345443,0.346632,0.406888,0.482135,0.55443,0.633281,0.708621,0.708756,0.708645,0.708606,0.709211,0.709224,0.70923,0.709177,0.709254,0.709245
0.347073,0.347073,0.347072,0.347072,0.347071,0.346858,0.405442,0.464098,0.526894,0.593369,0.660453,0.722986,0.771668,0.780654,0.780928,0.780657,0.780537,0.780384,0.780206,0.780131,0.780104,0.780083,0.779997,0.780004,0.779962
0.350945,0.350945,0.350944,0.350944,0.350944,0.35048,0.350073,0.349464,0.348848,0.349265,0.395831,0.452433,0.514494,0.571071,0.62079,0.667281,0.667539,0.667494,0.667807,0.667859,0.667804,0.667648,0.66713,0.667035,0.667101
0.34911,0.349109,0.349109,0.349109,0.349108,0.347817,0.400705,0.43782,0.4854,0.534532,0.587501,0.636175,0.681009,0.715549,0.715616,0.715246,0.715122,0.715017,0.714921,0.714926,0.714895,0.714802,0.714713,0.714765,0.714773
0.347097,0.347096,0.347096,0.347096,0.347095,0.346824,0.406377,0.459785,0.524272,0.586827,0.650585,0.706797,0.750249,0.76554,0.766383,0.766458,0.766364,0.76628,0.766135,0.765996,0.765869,0.765783,0.765758,0.765721,0.765701
0.350722,0.350721,0.350722,0.350722,0.350721,0.351281,0.352005,0.35229,0.352255,0.352897,0.39653,0.454119,0.512969,0.571927,0.632817,0.686629,0.686691,0.686593,0.686893,0.686981,0.686892,0.686803,0.686343,0.686246,0.686182
0.350128,0.350127,0.350127,0.350127,0.350127,0.350699,0.3515,0.351965,0.351857,0.351761,0.417125,0.475183,0.544616,0.611731,0.679212,0.731609,0.731922,0.731955,0.732003,0.731879,0.731768,0.731593,0.731393,0.731247,0.731182
