idx         Dr           G0           hpo           max1            res1            max3            res3            max5            res5            max7            res7            max9            res9            max11            res11            max13            res13            max15            res15            max17            res17            max19            res19            max21            res21            max23            res23            max25            res25            max27            res27            max29            res29            max31            res31            max33            res33            max35            res35            max37            res37            max39            res39            max41            res41            max43            res43            max45            res45            max47            res47            max49            res49            
1    0.492215    282.279000    0.452265    0.347403    0.347403    0.347402    0.347402    0.347403    0.347403    0.347402    0.347402    0.347402    0.347402    0.345918    0.345918    0.357407    0.357407    0.412526    0.412526    0.479419    0.479419    0.551254    0.551254    0.616219    0.616219    0.678728    0.678728    0.729048    0.729048    0.765219    0.765219    0.766206    0.766206    0.766266    0.766266    0.765795    0.765795    0.765433    0.765433    0.765069    0.765069    0.764796    0.764796    0.764567    0.764567    0.764392    0.764392    0.764296    0.764296    0.764247    0.764247    0.764191    0.764191    
2    0.521997    345.372000    0.312279    0.348331    0.348331    0.348331    0.348331    0.348331    0.348331    0.348331    0.348331    0.348330    0.348330    0.348066    0.348066    0.365499    0.365499    0.416388    0.416388    0.479974    0.479974    0.539204    0.539204    0.600151    0.600151    0.653827    0.653827    0.705315    0.705315    0.709954    0.709954    0.709888    0.709888    0.709758    0.709758    0.709524    0.709524    0.709341    0.709341    0.709204    0.709204    0.709081    0.709081    0.708984    0.708984    0.708917    0.708917    0.708932    0.708932    0.708948    0.708948    0.708904    0.708904    
3    0.552382    210.359000    0.222197    0.348932    0.348932    0.348932    0.348932    0.348932    0.348932    0.348932    0.348932    0.348931    0.348931    0.347718    0.347718    0.347739    0.347739    0.349177    0.349177    0.403099    0.403099    0.460665    0.460665    0.527123    0.527123    0.592252    0.592252    0.659503    0.659503    0.718753    0.718753    0.720550    0.720550    0.721755    0.721755    0.721712    0.721712    0.721819    0.721819    0.721772    0.721772    0.721560    0.721560    0.721396    0.721396    0.721010    0.721010    0.720687    0.720687    0.720593    0.720593    0.720519    0.720519    
4    0.499758    196.645000    0.397529    0.348528    0.348528    0.348527    0.348527    0.348527    0.348527    0.348527    0.348527    0.348527    0.348527    0.347485    0.347485    0.347999    0.347999    0.347680    0.347680    0.348899    0.348899    0.415181    0.415181    0.493207    0.493207    0.576135    0.576135    0.654335    0.654335    0.726976    0.726976    0.730189    0.730189    0.731160    0.731160    0.731154    0.731154    0.731090    0.731090    0.731229    0.731229    0.731265    0.731265    0.731305    0.731305    0.731031    0.731031    0.730854    0.730854    0.730885    0.730885    0.730829    0.730829    
5    0.493094    290.306000    0.451319    0.347096    0.347096    0.347095    0.347095    0.347096    0.347096    0.347095    0.347095    0.347095    0.347095    0.345768    0.345768    0.391449    0.391449    0.449729    0.449729    0.515884    0.515884    0.580008    0.580008    0.646152    0.646152    0.701171    0.701171    0.751324    0.751324    0.774454    0.774454    0.774988    0.774988    0.774126    0.774126    0.773676    0.773676    0.773323    0.773323    0.773016    0.773016    0.772694    0.772694    0.772444    0.772444    0.772372    0.772372    0.772272    0.772272    0.772231    0.772231    0.772191    0.772191    
6    0.489885    120.477000    0.439303    0.349519    0.349519    0.349519    0.349519    0.349519    0.349519    0.349519    0.349519    0.349519    0.349519    0.349644    0.349644    0.348726    0.348726    0.347556    0.347556    0.346165    0.346165    0.345443    0.345443    0.346632    0.346632    0.406888    0.406888    0.482135    0.482135    0.554430    0.554430    0.633281    0.633281    0.708621    0.708621    0.708756    0.708756    0.708645    0.708645    0.708606    0.708606    0.709211    0.709211    0.709224    0.709224    0.709230    0.709230    0.709177    0.709177    0.709254    0.709254    0.709245    0.709245    
7    0.512310    284.208000    0.319786    0.347073    0.347073    0.347073    0.347073    0.347072    0.347072    0.347072    0.347072    0.347071    0.347071    0.346858    0.346858    0.405442    0.405442    0.464098    0.464098    0.526894    0.526894    0.593369    0.593369    0.660453    0.660453    0.722986    0.722986    0.771668    0.771668    0.780654    0.780654    0.780928    0.780928    0.780657    0.780657    0.780537    0.780537    0.780384    0.780384    0.780206    0.780206    0.780131    0.780131    0.780104    0.780104    0.780083    0.780083    0.779997    0.779997    0.780004    0.780004    0.779962    0.779962    
8    0.625588    141.454000    0.076320    0.350945    0.350945    0.350945    0.350945    0.350944    0.350944    0.350944    0.350944    0.350944    0.350944    0.350480    0.350480    0.350073    0.350073    0.349464    0.349464    0.348848    0.348848    0.349265    0.349265    0.395831    0.395831    0.452433    0.452433    0.514494    0.514494    0.571071    0.571071    0.620790    0.620790    0.667281    0.667281    0.667539    0.667539    0.667494    0.667494    0.667807    0.667807    0.667859    0.667859    0.667804    0.667804    0.667648    0.667648    0.667130    0.667130    0.667035    0.667035    0.667101    0.667101    
9    0.615519    287.682000    0.091704    0.349110    0.349110    0.349109    0.349109    0.349109    0.349109    0.349109    0.349109    0.349108    0.349108    0.347817    0.347817    0.400705    0.400705    0.437820    0.437820    0.485400    0.485400    0.534532    0.534532    0.587501    0.587501    0.636175    0.636175    0.681009    0.681009    0.715549    0.715549    0.715616    0.715616    0.715246    0.715246    0.715122    0.715122    0.715017    0.715017    0.714921    0.714921    0.714926    0.714926    0.714895    0.714895    0.714802    0.714802    0.714713    0.714713    0.714765    0.714765    0.714773    0.714773    
10    0.490421    346.962000    0.454974    0.347097    0.347097    0.347096    0.347096    0.347096    0.347096    0.347096    0.347096    0.347095    0.347095    0.346824    0.346824    0.406377    0.406377    0.459785    0.459785    0.524272    0.524272    0.586827    0.586827    0.650585    0.650585    0.706797    0.706797    0.750249    0.750249    0.765540    0.765540    0.766383    0.766383    0.766458    0.766458    0.766364    0.766364    0.766280    0.766280    0.766135    0.766135    0.765996    0.765996    0.765869    0.765869    0.765783    0.765783    0.765758    0.765758    0.765721    0.765721    0.765701    0.765701    
11    0.622649    134.543000    0.078766    0.350722    0.350722    0.350721    0.350721    0.350722    0.350722    0.350722    0.350722    0.350721    0.350721    0.351281    0.351281    0.352005    0.352005    0.352290    0.352290    0.352255    0.352255    0.352897    0.352897    0.396530    0.396530    0.454119    0.454119    0.512969    0.512969    0.571927    0.571927    0.632817    0.632817    0.686629    0.686629    0.686691    0.686691    0.686593    0.686593    0.686893    0.686893    0.686981    0.686981    0.686892    0.686892    0.686803    0.686803    0.686343    0.686343    0.686246    0.686246    0.686182    0.686182    
12    0.618395    136.086000    0.070545    0.350128    0.350128    0.350127    0.350127    0.350127    0.350127    0.350127    0.350127    0.350127    0.350127    0.350699    0.350699    0.351500    0.351500    0.351965    0.351965    0.351857    0.351857    0.351761    0.351761    0.417125    0.417125    0.475183    0.475183    0.544616    0.544616    0.611731    0.611731    0.679212    0.679212    0.731609    0.731609    0.731922    0.731922    0.731955    0.731955    0.732003    0.732003    0.731879    0.731879    0.731768    0.731768    0.731593    0.731593    0.731393    0.731393    0.731247    0.731247    0.731182    0.731182    
13    0.458430    385.502000    0.677821    0.347248    0.347248    0.347248    0.347248    0.347248    0.347248    0.347247    0.347247    0.347248    0.347248    0.346901    0.346901    0.381235    0.381235    0.445998    0.445998    0.509602    0.509602    0.578221    0.578221    0.642384    0.642384    0.697610    0.697610    0.734911    0.734911    0.735310    0.735310    0.735382    0.735382    0.735274    0.735274    0.735071    0.735071    0.734916    0.734916    0.734773    0.734773    0.734658    0.734658    0.734558    0.734558    0.734482    0.734482    0.734448    0.734448    0.734383    0.734383    0.734353    0.734353    
14    0.460228    364.050000    0.684362    0.346875    0.346875    0.346875    0.346875    0.346874    0.346874    0.346874    0.346874    0.346874    0.346874    0.346882    0.346882    0.409570    0.409570    0.469042    0.469042    0.532081    0.532081    0.594338    0.594338    0.662085    0.662085    0.717972    0.717972    0.757057    0.757057    0.757144    0.757144    0.756647    0.756647    0.756362    0.756362    0.756121    0.756121    0.756015    0.756015    0.755850    0.755850    0.755700    0.755700    0.755575    0.755575    0.755443    0.755443    0.755369    0.755369    0.755345    0.755345    0.755317    0.755317    
15    0.488413    354.551000    0.455621    0.347378    0.347378    0.347378    0.347378    0.347377    0.347377    0.347377    0.347377    0.347378    0.347378    0.347505    0.347505    0.381222    0.381222    0.442891    0.442891    0.504266    0.504266    0.563925    0.563925    0.630683    0.630683    0.690242    0.690242    0.734015    0.734015    0.751651    0.751651    0.752192    0.752192    0.752209    0.752209    0.752088    0.752088    0.751953    0.751953    0.751823    0.751823    0.751695    0.751695    0.751629    0.751629    0.751543    0.751543    0.751493    0.751493    0.751439    0.751439    0.751470    0.751470    
16    0.547441    108.604000    0.227427    0.350588    0.350588    0.350588    0.350588    0.350588    0.350588    0.350588    0.350588    0.350587    0.350587    0.349499    0.349499    0.348072    0.348072    0.348081    0.348081    0.347021    0.347021    0.345785    0.345785    0.345164    0.345164    0.373693    0.373693    0.438315    0.438315    0.520665    0.520665    0.585744    0.585744    0.663969    0.663969    0.663743    0.663743    0.663544    0.663544    0.663591    0.663591    0.663970    0.663970    0.663736    0.663736    0.663826    0.663826    0.663934    0.663934    0.664042    0.664042    0.664125    0.664125    
17    0.457008    344.862000    0.690951    0.346839    0.346839    0.346838    0.346838    0.346838    0.346838    0.346838    0.346838    0.346838    0.346838    0.346748    0.346748    0.403776    0.403776    0.465757    0.465757    0.530068    0.530068    0.604338    0.604338    0.667414    0.667414    0.719949    0.719949    0.756131    0.756131    0.757748    0.757748    0.757714    0.757714    0.757076    0.757076    0.756620    0.756620    0.756328    0.756328    0.756041    0.756041    0.755737    0.755737    0.755495    0.755495    0.755276    0.755276    0.755155    0.755155    0.755061    0.755061    0.755016    0.755016    
18    0.519025    198.423000    0.313008    0.348879    0.348879    0.348879    0.348879    0.348879    0.348879    0.348878    0.348878    0.348879    0.348879    0.348816    0.348816    0.349379    0.349379    0.350029    0.350029    0.351409    0.351409    0.419977    0.419977    0.493202    0.493202    0.565850    0.565850    0.636999    0.636999    0.712279    0.712279    0.715088    0.715088    0.716071    0.716071    0.716060    0.716060    0.715992    0.715992    0.715806    0.715806    0.715535    0.715535    0.715328    0.715328    0.715102    0.715102    0.715056    0.715056    0.715023    0.715023    0.714914    0.714914    
19    0.489088    296.239000    0.485833    0.346980    0.346980    0.346980    0.346980    0.346979    0.346979    0.346979    0.346979    0.346978    0.346978    0.345919    0.345919    0.388306    0.388306    0.442794    0.442794    0.511119    0.511119    0.581988    0.581988    0.639297    0.639297    0.696829    0.696829    0.746980    0.746980    0.783272    0.783272    0.784147    0.784147    0.784170    0.784170    0.784093    0.784093    0.783962    0.783962    0.783869    0.783869    0.783793    0.783793    0.783588    0.783588    0.783416    0.783416    0.783220    0.783220    0.783208    0.783208    0.783184    0.783184    
20    0.625588    141.454000    0.076320    0.350945    0.350945    0.350945    0.350945    0.350944    0.350944    0.350944    0.350944    0.350944    0.350944    0.350480    0.350480    0.350073    0.350073    0.349464    0.349464    0.348848    0.348848    0.349265    0.349265    0.395831    0.395831    0.452433    0.452433    0.514494    0.514494    0.571071    0.571071    0.620790    0.620790    0.667281    0.667281    0.667539    0.667539    0.667494    0.667494    0.667807    0.667807    0.667859    0.667859    0.667804    0.667804    0.667648    0.667648    0.667130    0.667130    0.667035    0.667035    0.667101    0.667101    
21    0.512310    284.208000    0.319786    0.347073    0.347073    0.347073    0.347073    0.347072    0.347072    0.347072    0.347072    0.347071    0.347071    0.346858    0.346858    0.405442    0.405442    0.464098    0.464098    0.526894    0.526894    0.593369    0.593369    0.660453    0.660453    0.722986    0.722986    0.771668    0.771668    0.780654    0.780654    0.780928    0.780928    0.780657    0.780657    0.780537    0.780537    0.780384    0.780384    0.780206    0.780206    0.780131    0.780131    0.780104    0.780104    0.780083    0.780083    0.779997    0.779997    0.780004    0.780004    0.779962    0.779962    
22    0.607067    153.590000    0.066220    0.349734    0.349734    0.349734    0.349734    0.349734    0.349734    0.349734    0.349734    0.349734    0.349734    0.349354    0.349354    0.350839    0.350839    0.352811    0.352811    0.354876    0.354876    0.395915    0.395915    0.455359    0.455359    0.525380    0.525380    0.594196    0.594196    0.654796    0.654796    0.703688    0.703688    0.733840    0.733840    0.733961    0.733961    0.733869    0.733869    0.733972    0.733972    0.733938    0.733938    0.733736    0.733736    0.733548    0.733548    0.733347    0.733347    0.733222    0.733222    0.733093    0.733093    
23    0.494808    340.641000    0.596145    0.347768    0.347768    0.347767    0.347767    0.347767    0.347767    0.347767    0.347767    0.347766    0.347766    0.347831    0.347831    0.390801    0.390801    0.437211    0.437211    0.493120    0.493120    0.545348    0.545348    0.600235    0.600235    0.648771    0.648771    0.698020    0.698020    0.732920    0.732920    0.734116    0.734116    0.734469    0.734469    0.734409    0.734409    0.734334    0.734334    0.734276    0.734276    0.734258    0.734258    0.734232    0.734232    0.734208    0.734208    0.734075    0.734075    0.733964    0.733964    0.733968    0.733968    
