Run #, Dr, G0, hpo, nCycles.CovMultiplier, nCycles_1, nCycles_2, nCycles_3, nCycles_4, nCycles_5, nCycles_6
1, 0.655344, 367.106, 0.0484148, 0.724229, 21.5, 21.5, 9.5, 6.25, 4.25, 3.25
2, 0.548915, 223.335, 0.254672, 2.10562, 28.25, 28.25, 11.5, 6.25, 3.5, 2.25
3, 0.677601, 316.417, 0.0303774, 1.00725, 20.25, 20.25, 9.25, 5.5, 4.25, 2.5
4, 0.681221, 247.96, 0.0419425, 1.48763, 28.25, 28.25, 11.5, 6.5, 4.25, 2.5
5, 0.694903, 210.251, 0.0311702, 1.39586, 39.25, 39.25, 16.25, 8.5, 5.5, 3.25
6, 0.547755, 213.964, 0.226497, 1.0537, 24.5, 24.5, 10.25, 5.5, 3.5, 2.25
7, 0.6395, 356.549, 0.0689492, 1.01903, 29.25, 29.25, 12.5, 6.5, 4.25, 2.5
8, 0.59865, 222.815, 0.112551, 0.942487, 24.25, 24.25, 10.25, 5.5, 3.5, 2.25
9, 0.512751, 143.049, 0.348303, 1.20727, 32.5, 32.5, 12.5, 6.5, 3.5, 2.25
10, 0.534964, 285.778, 0.288992, 1.6377, 31.25, 31.25, 13.25, 7.25, 4.5, 2.5
11, 0.678236, 291.877, 0.0372503, 1.15627, 24.25, 24.25, 10.5, 6.5, 3.5, 2.5
12, 0.584622, 387.468, 0.146301, 0.242203, 24.5, 24.5, 11.25, 6.5, 4.25, 2.5
13, 0.517392, 185.052, 0.29329, 0.63644, 28.25, 28.25, 11.5, 6.25, 3.5, 2.25
14, 0.541337, 385.324, 0.252943, 0.52213, 27.5, 27.5, 11.5, 6.5, 4.25, 2.5
15, 0.688398, 246.743, 0.0356783, 1.35181, 31.5, 31.5, 13.25, 7.5, 4.5, 2.5
16, 0.542686, 214.517, 0.236427, 0.835228, 22.25, 22.25, 9.25, 5.25, 3.25, 1.5
17, 0.6877, 337.584, 0.0295118, 0.963074, 22.25, 22.25, 10.25, 6.25, 4.5, 2.5
18, 0.546817, 141.175, 0.191182, 1.50401, 17.5, 17.5, 7.25, 3.5, 2.25, 1.25
19, 0.520336, 130.22, 0.345258, 1.25634, 27.5, 27.5, 11.25, 5.5, 3.25, 1.5
20, 0.519457, 162.117, 0.33286, 1.11766, 26.5, 26.5, 10.5, 5.5, 3.25, 1.5
21, 0.608908, 386.67, 0.083796, 0.856827, 21.25, 21.25, 9.5, 6.25, 4.25, 2.5
22, 0.600763, 374.289, 0.116258, 0.40811, 21.5, 21.5, 9.25, 5.25, 3.25, 2.25
23, 0.681091, 236.67, 0.0364384, 1.32173, 23.5, 23.5, 10.25, 5.5, 3.5, 2.25
24, 0.694903, 210.251, 0.0311702, 1.39586, 32.25, 32.25, 13.25, 7.5, 4.5, 2.5
25, 0.689605, 209.664, 0.0350589, 1.48348, 19.5, 19.5, 8.5, 5.25, 3.25, 2.25
26, 0.657746, 393.894, 0.040449, 0.668379, 34.5, 34.5, 14.5, 8.5, 5.5, 3.5
27, 0.607787, 111.589, 0.101733, 1.76172, 25.5, 25.5, 10.25, 5.5, 3.25, 1.5
28, 0.680198, 301.782, 0.0421165, 1.17634, 27.5, 27.5, 12.25, 6.5, 4.25, 2.5
29, 0.517392, 185.052, 0.29329, 0.63644, 20.25, 20.25, 8.25, 4.5, 2.5, 1.5
30, 0.65265, 368.191, 0.0504116, 1.18057, 32.25, 32.25, 13.5, 8.25, 5.5, 3.5
31, 0.676487, 296.083, 0.0441283, 1.15072, 27.5, 27.5, 12.25, 7.25, 4.25, 2.5
32, 0.595606, 359.616, 0.122816, 0.454649, 24.5, 24.5, 11.25, 6.5, 4.5, 2.5
33, 0.674628, 286.03, 0.0416152, 1.34638, 21.25, 21.25, 9.5, 6.25, 3.5, 2.5
34, 0.696202, 306.03, 0.0232343, 1.09663, 28.25, 28.25, 11.5, 6.5, 4.25, 2.5
35, 0.543085, 165.675, 0.230432, 1.50309, 24.5, 24.5, 10.25, 5.25, 3.25, 1.5
36, 0.66182, 282.625, 0.0534125, 1.22907, 27.25, 27.25, 11.25, 6.5, 4.25, 2.5
37, 0.611629, 365.445, 0.0960939, 0.599338, 25.5, 25.5, 11.25, 6.5, 4.5, 2.5
38, 0.508195, 131.629, 0.363748, 1.1618, 23.5, 23.5, 9.25, 4.5, 2.5, 1.5
39, 0.681392, 310.604, 0.035388, 1.05785, 25.5, 25.5, 11.5, 7.25, 4.5, 2.5
40, 0.674289, 294.537, 0.0386107, 1.16536, 21.5, 21.5, 10.25, 6.25, 3.5, 2.5
41, 0.552569, 152.493, 0.224822, 1.41087, 26.5, 26.5, 10.5, 5.5, 3.25, 1.5
42, 0.59267, 202.663, 0.111787, 1.49446, 23.25, 23.25, 9.5, 5.25, 3.25, 2.25
43, 0.513494, 191.164, 0.313361, 1.40502, 22.5, 22.5, 9.25, 5.25, 3.25, 1.5
44, 0.670329, 318.221, 0.0417849, 0.839605, 24.25, 24.25, 10.5, 6.5, 4.5, 2.5
45, 0.600763, 374.289, 0.116258, 0.40811, 27.25, 27.25, 11.5, 7.25, 4.25, 2.5
46, 0.600763, 374.289, 0.116258, 0.40811, 24.5, 24.5, 11.25, 6.5, 4.25, 2.5
47, 0.567137, 217.615, 0.187362, 1.26744, 30.5, 30.5, 12.5, 6.5, 4.25, 2.5
48, 0.567025, 126.347, 0.170314, 1.49453, 25.5, 25.5, 10.25, 5.25, 3.25, 1.5
49, 0.641283, 318.722, 0.0669683, 1.11369, 32.25, 32.25, 13.5, 8.25, 5.25, 3.25
50, 0.670403, 333.093, 0.0340522, 0.779937, 17.5, 17.5, 8.25, 5.25, 3.25, 2.25
51, 0.540799, 173.29, 0.220924, 1.39098, 22.5, 22.5, 9.25, 5.25, 3.25, 1.5
52, 0.520875, 141.014, 0.295804, 0.822366, 23.5, 23.5, 9.5, 5.25, 2.5, 1.5
53, 0.60965, 377.369, 0.104139, 0.663013, 24.25, 24.25, 10.5, 6.5, 4.5, 2.5
54, 0.578561, 171.245, 0.152926, 1.49804, 27.25, 27.25, 10.5, 5.5, 3.25, 1.5
55, 0.508387, 109.302, 0.360089, 1.40916, 25.25, 25.25, 10.25, 5.25, 3.25, 1.5
56, 0.611629, 365.445, 0.0960939, 0.599338, 19.5, 19.5, 9.25, 5.5, 4.25, 2.5
57, 0.539792, 104.869, 0.225041, 1.63885, 23.5, 23.5, 9.25, 4.5, 2.5, 1.5
58, 0.527809, 196.514, 0.257063, 0.97378, 22.25, 22.25, 9.25, 5.25, 3.25, 1.5
59, 0.694538, 201.492, 0.0303647, 1.41216, 46.5, 46.5, 18.5, 10.25, 6.25, 3.5
60, 0.684537, 214.079, 0.0395767, 1.50265, 27.5, 27.5, 11.5, 6.5, 4.25, 2.5
