Run #, Dr, G0, hpo, nCycles.CovMultiplier, nCycles_1, nCycles_2, nCycles_3, nCycles_4, nCycles_5, nCycles_6
1, 0.670869, 315.611, 0.0469474, 1.54815, 27.25, 27.25, 12.25, 7.25, 4.25, 2.5
2, 0.682148, 177.7, 0.0372329, 1.03768, 20.25, 20.25, 8.5, 4.5, 3.25, 2.25
3, 0.669002, 226.853, 0.0468601, 1.18057, 26.25, 26.25, 11.25, 6.25, 4.25, 2.5
4, 0.589957, 399.223, 0.119093, 1.31274, 19.25, 19.25, 8.5, 5.5, 3.5, 2.5
5, 0.599775, 339.734, 0.105551, 1.18252, 20.25, 20.25, 9.25, 5.5, 3.5, 2.5
6, 0.591467, 499.781, 0.120273, 1.70648, 19.5, 19.5, 9.5, 5.5, 4.25, 3.25
7, 0.629708, 215.996, 0.074748, 0.921083, 24.25, 24.25, 10.25, 5.5, 3.5, 2.25
8, 0.610627, 449.235, 0.0980528, 1.70392, 26.25, 26.25, 11.5, 7.25, 4.5, 3.5
9, 0.599386, 513.574, 0.114314, 1.81048, 24.25, 24.25, 11.5, 6.5, 4.5, 3.5
10, 0.584689, 290.022, 0.124481, 0.806757, 21.25, 21.25, 9.25, 5.25, 3.25, 2.25
